Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based_few_shot_3,deepseek-8b,bitter frustration,0.0,0.0,0.0,0.0,492.0,11.0,11.0,492.0,0.0
role_based_few_shot_3,deepseek-8b,impatience,0.16666666666666666,0.0037593984962406013,0.0037593984962406013,0.007352941176470588,266.0,6.0,5.0,265.0,0.0
role_based_few_shot_3,deepseek-8b,mocking,0.0,0.0,0.0,0.0,176.0,3.0,3.0,176.0,0.0
role_based_few_shot_3,deepseek-8b,irony,0.0,0.0,0.0,0.0,64.0,2.0,2.0,64.0,0.0
role_based_few_shot_3,deepseek-8b,vulgarity,0.0,0.0,0.0,0.0,71.0,4.0,4.0,71.0,0.0
role_based_few_shot_3,deepseek-8b,threat,0.0,0.0,0.0,0.0,23.0,5.0,5.0,23.0,0.0
role_based_few_shot_3,deepseek-8b,identify attack/name calling,0.0,0.0,0.0,0.0,28.0,48.0,48.0,28.0,0.0
role_based_few_shot_3,deepseek-8b,none,0.8551506972559604,0.8435766585311737,0.8435766585311737,0.8493242488551324,4507.0,4446.0,644.0,705.0,0.0
role_based_few_shot_3,deepseek-8b,entitlement,0.09090909090909091,0.014285714285714285,0.014285714285714285,0.024691358024691357,70.0,11.0,10.0,69.0,0.0
role_based_few_shot_3,deepseek-8b,insulting,0.0898876404494382,0.6896551724137931,0.6896551724137931,0.15904572564612326,174.0,1335.0,1215.0,54.0,0.0
