,Arquivo,precision,recall,f1-score,false_positives,false_negatives,samples
bitter frustration,fineclassify_deepseek-llm_7b_fewshot_3.csv,0.13186813186813187,0.07317073170731707,0.09411764705882353,237.0,440.0,476.0
impatience,fineclassify_deepseek-llm_7b_fewshot_3.csv,0.03407880724174654,0.6015037593984962,0.06450312437008668,4535.0,100.0,260.0
mocking,fineclassify_deepseek-llm_7b_fewshot_3.csv,0.035555555555555556,0.04020100502512563,0.03773584905660377,217.0,180.0,188.0
irony,fineclassify_deepseek-llm_7b_fewshot_3.csv,0.007942238267148015,0.171875,0.01518288474810214,1374.0,50.0,61.0
vulgarity,fineclassify_deepseek-llm_7b_fewshot_3.csv,0.02711864406779661,0.11267605633802817,0.04371584699453552,287.0,57.0,65.0
threat,fineclassify_deepseek-llm_7b_fewshot_3.csv,0.0,0.0,0.0,8.0,23.0,23.0
ia (name calling),fineclassify_deepseek-llm_7b_fewshot_3.csv,0.0,0.0,0.0,0.0,26.0,26.0
none,fineclassify_deepseek-llm_7b_fewshot_3.csv,0.8516483516483516,0.02549342105263158,0.04950495049504951,27.0,5809.0,5964.0
bitter frustration,fineclassify_deepseek-llm_7b_fewshot_5.csv,0.15476190476190477,0.6341463414634146,0.24880382775119617,1704.0,179.0,491.0
impatience,fineclassify_deepseek-llm_7b_fewshot_5.csv,0.025781079309591434,0.44360902255639095,0.04873012595498658,4459.0,145.0,263.0
mocking,fineclassify_deepseek-llm_7b_fewshot_5.csv,0.029315960912052116,0.04522613065326633,0.03557312252964427,298.0,180.0,189.0
irony,fineclassify_deepseek-llm_7b_fewshot_5.csv,0.041666666666666664,0.015625,0.022727272727272728,23.0,60.0,61.0
vulgarity,fineclassify_deepseek-llm_7b_fewshot_5.csv,0.06756756756756757,0.07042253521126761,0.06896551724137931,69.0,64.0,69.0
threat,fineclassify_deepseek-llm_7b_fewshot_5.csv,0.0,0.0,0.0,81.0,23.0,23.0
ia (name calling),fineclassify_deepseek-llm_7b_fewshot_5.csv,0.0,0.0,0.0,1.0,27.0,27.0
none,fineclassify_deepseek-llm_7b_fewshot_5.csv,1.0,0.006743421052631579,0.013396503839241954,0.0,5957.0,5998.0
bitter frustration,fineclassify_deepseek-llm_7b_oneshot.csv,0.06217814228495137,0.6626016260162602,0.11368788142981691,4917.0,165.0,491.0
impatience,fineclassify_deepseek-llm_7b_oneshot.csv,0.027777777777777776,0.0037593984962406013,0.006622516556291391,35.0,261.0,262.0
mocking,fineclassify_deepseek-llm_7b_oneshot.csv,0.0,0.0,0.0,18.0,199.0,199.0
irony,fineclassify_deepseek-llm_7b_oneshot.csv,0.0,0.0,0.0,8.0,64.0,64.0
vulgarity,fineclassify_deepseek-llm_7b_oneshot.csv,0.007075471698113208,0.08450704225352113,0.013057671381936888,842.0,63.0,69.0
threat,fineclassify_deepseek-llm_7b_oneshot.csv,0.0,0.0,0.0,0.0,23.0,23.0
ia (name calling),fineclassify_deepseek-llm_7b_oneshot.csv,0.0,0.0,0.0,0.0,28.0,28.0
none,fineclassify_deepseek-llm_7b_oneshot.csv,0.8412391093901258,0.14292763157894736,0.24434134682974834,164.0,5181.0,6050.0
