Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
gpt_4o_mini_role_based_one_shot,gpt-4o-mini_role,bitter frustration,0.24751580849141824,0.556910569105691,0.556910569105691,0.342714196372733,492.0,1107.0,833.0,218.0,0.0
gpt_4o_mini_role_based_one_shot,gpt-4o-mini_role,impatience,0.20078740157480315,0.19172932330827067,0.19172932330827067,0.19615384615384615,266.0,254.0,203.0,215.0,0.0
gpt_4o_mini_role_based_one_shot,gpt-4o-mini_role,mocking,0.22821576763485477,0.3125,0.3125,0.2637889688249401,176.0,241.0,186.0,121.0,0.0
gpt_4o_mini_role_based_one_shot,gpt-4o-mini_role,irony,0.08839779005524862,0.25,0.25,0.1306122448979592,64.0,181.0,165.0,48.0,0.0
gpt_4o_mini_role_based_one_shot,gpt-4o-mini_role,vulgarity,0.5,0.3380281690140845,0.3380281690140845,0.40336134453781514,71.0,48.0,24.0,47.0,0.0
gpt_4o_mini_role_based_one_shot,gpt-4o-mini_role,threat,0.4827586206896552,0.6086956521739131,0.6086956521739131,0.5384615384615384,23.0,29.0,15.0,9.0,0.0
gpt_4o_mini_role_based_one_shot,gpt-4o-mini_role,identify attack/name calling,0.2413793103448276,0.25,0.25,0.24561403508771928,28.0,29.0,22.0,21.0,0.0
gpt_4o_mini_role_based_one_shot,gpt-4o-mini_role,none,0.9279638490164805,0.774572886620812,0.774572886620812,0.8443584472124803,4507.0,3762.0,271.0,1016.0,0.0
gpt_4o_mini_role_based_one_shot,gpt-4o-mini_role,entitlement,0.13846153846153847,0.12857142857142856,0.12857142857142856,0.13333333333333333,70.0,65.0,56.0,61.0,0.0
gpt_4o_mini_role_based_one_shot,gpt-4o-mini_role,insulting,0.25806451612903225,0.22988505747126436,0.22988505747126436,0.24316109422492402,174.0,155.0,115.0,134.0,0.0
