Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based_few_shot_3,gpt-4o-mini,bitter frustration,0.28820375335120646,0.4369918699186992,0.4369918699186992,0.3473344103392569,492.0,746.0,531.0,277.0,0.0
role_based_few_shot_3,gpt-4o-mini,impatience,0.22950819672131148,0.2631578947368421,0.2631578947368421,0.24518388791593695,266.0,305.0,235.0,196.0,0.0
role_based_few_shot_3,gpt-4o-mini,mocking,0.2305084745762712,0.38636363636363635,0.38636363636363635,0.28874734607218683,176.0,295.0,227.0,108.0,0.0
role_based_few_shot_3,gpt-4o-mini,irony,0.0684931506849315,0.15625,0.15625,0.09523809523809523,64.0,146.0,136.0,54.0,0.0
role_based_few_shot_3,gpt-4o-mini,vulgarity,0.44776119402985076,0.4225352112676056,0.4225352112676056,0.43478260869565216,71.0,67.0,37.0,41.0,0.0
role_based_few_shot_3,gpt-4o-mini,threat,0.4117647058823529,0.6086956521739131,0.6086956521739131,0.49122807017543857,23.0,34.0,20.0,9.0,0.0
role_based_few_shot_3,gpt-4o-mini,identify attack/name calling,0.2682926829268293,0.39285714285714285,0.39285714285714285,0.3188405797101449,28.0,41.0,30.0,17.0,0.0
role_based_few_shot_3,gpt-4o-mini,none,0.9245760566945077,0.8105169735966274,0.8105169735966274,0.8637975880822889,4507.0,3951.0,298.0,854.0,0.0
role_based_few_shot_3,gpt-4o-mini,entitlement,0.13043478260869565,0.17142857142857143,0.17142857142857143,0.14814814814814814,70.0,92.0,80.0,58.0,0.0
role_based_few_shot_3,gpt-4o-mini,insulting,0.2268041237113402,0.25287356321839083,0.25287356321839083,0.2391304347826087,174.0,194.0,150.0,130.0,0.0
